year,country,region,income,population,lifeExpectancy
1900,Angola,Sub-Saharan Africa,,,
1900,Benin,Sub-Saharan Africa,,,
1900,Botswana,Sub-Saharan Africa,,,
1900,Burkina Faso,Sub-Saharan Africa,,,
1900,Burundi,Sub-Saharan Africa,,,
1900,Cameroon,Sub-Saharan Africa,,,
1900,Cape Verde,Sub-Saharan Africa,472.27,,
1900,Chad,Sub-Saharan Africa,,,
1900,Comoros,Sub-Saharan Africa,,,
1900,"Congo, Dem. Rep.",Sub-Saharan Africa,,,
1900,"Congo, Rep.",Sub-Saharan Africa,,,
1900,Cote d'Ivoire,Sub-Saharan Africa,,,
1900,Equatorial Guinea,Sub-Saharan Africa,,,
1900,Eritrea,Sub-Saharan Africa,,,
1900,Ethiopia,Sub-Saharan Africa,,,
1900,Gabon,Sub-Saharan Africa,,,
1900,Ghana,Sub-Saharan Africa,,,
1900,Guinea,Sub-Saharan Africa,,,
1900,Guinea-Bissau,Sub-Saharan Africa,,,
1900,Kenya,Sub-Saharan Africa,,,
1900,Lesotho,Sub-Saharan Africa,,,
1900,Liberia,Sub-Saharan Africa,,,
1900,Madagascar,Sub-Saharan Africa,,,
1900,Malawi,Sub-Saharan Africa,,,
1900,Mali,Sub-Saharan Africa,,,
1900,Mauritania,Sub-Saharan Africa,,,
1900,Mauritius,Sub-Saharan Africa,,,
1900,Mayotte,Sub-Saharan Africa,,,
1900,Mozambique,Sub-Saharan Africa,,,
1900,Namibia,Sub-Saharan Africa,,,
1900,Niger,Sub-Saharan Africa,,,
1900,Nigeria,Sub-Saharan Africa,,,
1900,Reunion,Sub-Saharan Africa,,,
1900,Rwanda,Sub-Saharan Africa,,,
1900,Sao Tome and Principe,Sub-Saharan Africa,,,
1900,Senegal,Sub-Saharan Africa,,,
1900,Sierra Leone,Sub-Saharan Africa,,,
1900,Somalia,Sub-Saharan Africa,,,
1900,South Africa,Sub-Saharan Africa,,,
1900,Sudan,Sub-Saharan Africa,,,
1900,Swaziland,Sub-Saharan Africa,,,
1900,Tanzania,Sub-Saharan Africa,,,
1900,Togo,Sub-Saharan Africa,,,
1900,Uganda,Sub-Saharan Africa,,,
1900,Zambia,Sub-Saharan Africa,,,
1900,Zimbabwe,Sub-Saharan Africa,,,
1900,Afghanistan,South Asia,,,
1900,Bangladesh,South Asia,681,,
1900,Bhutan,South Asia,,,
1900,India,South Asia,604,,
1900,Maldives,South Asia,,,
1900,Nepal,South Asia,,5283000,
1900,Pakistan,South Asia,744,,
1900,Sri Lanka,South Asia,1064.45,3912000,
1900,Algeria,Middle East & North Africa,,,
1900,Bahrain,Middle East & North Africa,,,
1900,Djibouti,Middle East & North Africa,,,
1900,Iraq,Middle East & North Africa,1679.95,,
1900,Israel,Middle East & North Africa,,362220,
1900,Jordan,Middle East & North Africa,,,
1900,Kuwait,Middle East & North Africa,,,
1900,Lebanon,Middle East & North Africa,,,
1900,Libya,Middle East & North Africa,,,
1900,Morocco,Middle East & North Africa,,,
1900,Oman,Middle East & North Africa,,,
1900,Qatar,Middle East & North Africa,,,
1900,Saudi Arabia,Middle East & North Africa,,,
1900,Tunisia,Middle East & North Africa,,,
1900,United Arab Emirates,Middle East & North Africa,,,
1900,West Bank and Gaza,Middle East & North Africa,,286294,
1900,"Yemen, Rep.",Middle East & North Africa,,,
1900,Argentina,America,3419.66,4693000,36.8
1900,Aruba,America,,,
1900,Barbados,America,,,
1900,Belize,America,,,
1900,Bolivia,America,,1696000,
1900,Brazil,America,575.07,17984000,
1900,Canada,America,4224.78,5457000,
1900,Chile,America,2220.49,2958986,
1900,Colombia,America,,3998000,
1900,Costa Rica,America,,297000,34.7
1900,Cuba,America,,1658000,33.11
1900,Ecuador,America,,1400000,
1900,El Salvador,America,,766000,
1900,French Guiana,America,,,
1900,Grenada,America,,,
1900,Guadeloupe,America,,,
1900,Guatemala,America,,1300000,
1900,Guyana,America,,,
1900,Haiti,America,,1560000,
1900,Honduras,America,,500000,
1900,Jamaica,America,,720000,37.8
1900,Martinique,America,,,
1900,Mexico,America,1709.31,13607000,27.58
1900,Netherlands Antilles,America,,,
1900,Nicaragua,America,,478000,
1900,Panama,America,,263000,
1900,Paraguay,America,,440000,
1900,Peru,America,1036.35,3648000,
1900,Puerto Rico,America,,959000,
1900,Suriname,America,,,
1900,Trinidad and Tobago,America,,268000,
1900,United States,America,6624.3,76391000,
1900,Uruguay,America,2558.84,915000,
1900,Albania,Europe & Central Asia,1048.26,800000,
1900,Armenia,Europe & Central Asia,,,
1900,Austria,Europe & Central Asia,4362.27,5973000,
1900,Azerbaijan,Europe & Central Asia,,,
1900,Belarus,Europe & Central Asia,,,36.2
1900,Belgium,Europe & Central Asia,4456.85,6719000,46.59
1900,Bosnia and Herzegovina,Europe & Central Asia,606.28,,
1900,Bulgaria,Europe & Central Asia,1578.95,4000000,40.2
1900,Croatia,Europe & Central Asia,1942.56,,
1900,Cyprus,Europe & Central Asia,,,
1900,Denmark,Europe & Central Asia,3658.24,2561000,51.95
1900,Estonia,Europe & Central Asia,,,43.1
1900,Finland,Europe & Central Asia,2293.12,2646000,41.8
1900,France,Europe & Central Asia,4120.2,40598000,45.08
1900,Georgia,Europe & Central Asia,,,
1900,Germany,Europe & Central Asia,4683.8,54388000,
1900,Greece,Europe & Central Asia,2032.92,4962000,
1900,Hungary,Europe & Central Asia,3206.12,7127000,37.34
1900,Iceland,Europe & Central Asia,2073.92,,46.64
1900,Ireland,Europe & Central Asia,3433.9,3179846,
1900,Italy,Europe & Central Asia,2127.22,33672000,41.66
1900,Kazakhstan,Europe & Central Asia,,,28.1
1900,Latvia,Europe & Central Asia,,,
1900,Lithuania,Europe & Central Asia,,,41.7
1900,Luxembourg,Europe & Central Asia,,,
1900,"Macedonia, FYR",Europe & Central Asia,1186.95,,
1900,Malta,Europe & Central Asia,,,
1900,Moldova,Europe & Central Asia,,,
1900,Montenegro,Europe & Central Asia,1648.83,,
1900,Netherlands,Europe & Central Asia,3713.31,5142000,48.4
1900,Norway,Europe & Central Asia,2668,2230000,53.47
1900,Poland,Europe & Central Asia,2454.79,24750000,
1900,Portugal,Europe & Central Asia,1848.6,5404000,
1900,Romania,Europe & Central Asia,3337.87,11000000,
1900,Serbia,Europe & Central Asia,2230.41,,
1900,Slovak Republic,Europe & Central Asia,2438.9,,
1900,Slovenia,Europe & Central Asia,2624.99,,
1900,Spain,Europe & Central Asia,2676.85,18566000,34.8
1900,Sweden,Europe & Central Asia,2897,5117000,52.27
1900,Switzerland,Europe & Central Asia,5864.6,3300000,47.48
1900,Tajikistan,Europe & Central Asia,,,
1900,Turkey,Europe & Central Asia,1437.19,,
1900,Turkmenistan,Europe & Central Asia,,,
1900,Ukraine,Europe & Central Asia,,,36.6
1900,United Kingdom,Europe & Central Asia,6321.8,37975154,46.32
1900,Uzbekistan,Europe & Central Asia,,,
1900,Australia,East Asia & Pacific,5431.85,3741000,
1900,Brunei,East Asia & Pacific,,,
1900,Cambodia,East Asia & Pacific,,,
1900,China,East Asia & Pacific,802.28,400000000,
1900,Fiji,East Asia & Pacific,,120000,
1900,French Polynesia,East Asia & Pacific,,30000,
1900,"Hong Kong, China",East Asia & Pacific,,306000,
1900,Indonesia,East Asia & Pacific,615.87,42746000,
1900,Japan,East Asia & Pacific,1736.39,44103000,38.6
1900,"Korea, Dem. Rep.",East Asia & Pacific,788,,
1900,"Korea, Rep.",East Asia & Pacific,673,9896000,
1900,"Macao, China",East Asia & Pacific,,64000,
1900,Malaysia,East Asia & Pacific,,2232000,
1900,"Micronesia, Fed. Sts.",East Asia & Pacific,,,
1900,Mongolia,East Asia & Pacific,,,
1900,Myanmar,East Asia & Pacific,780.93,10174000,
1900,New Caledonia,East Asia & Pacific,,,
1900,New Zealand,East Asia & Pacific,5819.9,807000,
1900,Papua New Guinea,East Asia & Pacific,,,
1900,Philippines,East Asia & Pacific,,7324000,
1900,Samoa,East Asia & Pacific,,33000,
1900,Singapore,East Asia & Pacific,2181.19,215000,
1900,Solomon Islands,East Asia & Pacific,,,
1900,Taiwan,East Asia & Pacific,961,2864000,
1900,Thailand,East Asia & Pacific,,7320000,
1900,Timor-Leste,East Asia & Pacific,,,
1900,Tokelau,East Asia & Pacific,,350,
1900,Tonga,East Asia & Pacific,,20000,
1900,Vietnam,East Asia & Pacific,,,
1900,Vanuatu,East Asia & Pacific,,,
1901,Angola,Sub-Saharan Africa,,,
1901,Benin,Sub-Saharan Africa,,,
